2(3).Resampled(3).Label-Analysis(3),,,,,,,,,,,,
Volume3d (?m^3) ,Area3d (?m^2) ,EqDiameter (?m) ,BaryCenterX (?m) ,BaryCenterY (?m) ,BaryCenterZ (?m) ,index,Materials,,,,,
1728,678.433,14.8884,2339.85,3282.21,1067.67,278,,,,,,14.8884
43008,6121.73,43.4694,2313.5,3737,1084.07,279,,,,,,43.4694
1984,741.742,15.5901,2716.76,3839.62,1070.16,280,,,,,,15.5901
2432,834.739,16.6848,4013.48,3980.58,1069.88,281,,,,,,16.6848
25600,4334.65,36.5663,3814.55,4060.11,1078.22,282,,,,,,36.5663
98624,10643.6,57.3229,3963.74,4374.76,1090.67,283,,,,,,57.3229
1984,741.769,15.5901,2477.79,4778.46,1069.9,284,,,,,,15.5901
24512,4920.84,36.0407,2556.44,4879.71,1086.53,285,,,,,,36.0407
1664,651.609,14.7023,3511.11,831.41,1073.7,286,,,,,,14.7023
14656,3392.31,30.3626,3104.7,1314.33,1082.42,287,,,,,,30.3626
1728,685.022,14.8884,2700.59,1381.77,1074.34,288,,,,,,14.8884
2048,763.787,15.7559,2405.96,1582.48,1071.56,289,,,,,,15.7559
24640,4133.95,36.1033,3787.13,1588.94,1084.47,290,,,,,,36.1033
1664,655.599,14.7023,3924.03,1635.87,1073.85,291,,,,,,14.7023
4800,1364.6,20.929,3089.25,1666.14,1075.84,292,,,,,,20.929
4352,1253.19,20.2565,2375.07,2211.04,1072.99,293,,,,,,20.2565
3584,1106.18,18.987,3144.17,3325.96,1074.5,294,,,,,,18.987
5888,1581.2,22.4039,3049.04,3863.67,1075.93,295,,,,,,22.4039
2176,804.307,16.0776,2182.25,4092.51,1074.58,296,,,,,,16.0776
2240,822.948,16.2337,4073.47,4237.16,1070.82,297,,,,,,16.2337
2432,856.676,16.6848,2908.11,4274.47,1075.35,298,,,,,,16.6848
1600,637.911,14.5113,2178.48,4331.58,1072.37,299,,,,,,14.5113
1856,700.477,15.2473,3575.78,4427.93,1070.93,300,,,,,,15.2473
1664,654.904,14.7023,3720.49,4518.64,1071.09,301,,,,,,14.7023
329856,29216.3,85.7252,2236.48,4648.56,1119.94,302,,,,,,85.7252
89536,11359,55.5051,2678.61,4661.16,1110.13,303,,,,,,55.5051
2816,926.268,17.5204,2593.41,4701.56,1072.66,304,,,,,,17.5204
4352,1297.81,20.2565,3832.49,4988.4,1074.52,305,,,,,,20.2565
1536,631.992,14.3152,3034.29,5074.77,1071.76,306,,,,,,14.3152
2048,753.128,15.7559,2727.33,767.103,1077.31,307,,,,,,15.7559
95168,10266.2,56.6453,2434.95,1016.5,1101.61,308,,,,,,56.6453
4672,1327.6,20.7412,3287.29,1779.65,1077.89,309,,,,,,20.7412
1792,714.971,15.07,3910.39,1823.67,1077.93,310,,,,,,15.07
3712,1137.44,19.2104,3857.16,3202.69,1078.86,311,,,,,,19.2104
8640,2027.2,25.4588,3785.24,3291.01,1081.69,312,,,,,,25.4588
3136,999.593,18.1604,2954.3,3384.98,1076.56,313,,,,,,18.1604
1344,568.55,13.692,3480.86,3566.53,1074.55,314,,,,,,13.692
1664,660.615,14.7023,3574.65,3664.33,1077.39,315,,,,,,14.7023
129408,17031.4,62.7559,4040.49,3772.19,1121.02,316,,,,,,62.7559
1472,598.262,14.1136,2598.26,4064.32,1075.8,317,,,,,,14.1136
8320,2006.35,25.1406,2895.97,4101.38,1079.49,318,,,,,,25.1406
2432,850.061,16.6848,2861.59,4111.21,1077.25,319,,,,,,16.6848
1472,595.583,14.1136,2405.56,4163.45,1075.28,320,,,,,,14.1136
3200,1022.53,18.2831,4036.8,4174.38,1080.69,321,,,,,,18.2831
2624,896.896,17.1128,2894.86,4589.15,1076,322,,,,,,17.1128
2048,768.055,15.7559,2665.58,4827.48,1077.68,323,,,,,,15.7559
5760,1535.86,22.2403,2510.96,714.036,1083.73,324,,,,,,22.2403
1408,571.333,13.906,3307.32,1150.92,1078.39,325,,,,,,13.906
2112,885.433,15.9184,2707.2,1348.31,1080.99,326,,,,,,15.9184
4544,1300.11,20.5501,3721.72,1381.41,1084.23,327,,,,,,20.5501
3328,1079.76,18.5237,2534.19,1471.41,1082.09,328,,,,,,18.5237
2304,825.523,16.3868,3927.96,1521.44,1080.26,329,,,,,,16.3868
4928,1389.33,21.1134,3202.44,2105.39,1085.63,330,,,,,,21.1134
2688,899.208,17.2508,2661.05,2525.2,1082.36,331,,,,,,17.2508
7360,1807.1,24.1338,3004.14,2875.73,1083.59,332,,,,,,24.1338
2624,906.677,17.1128,3667.54,2972.27,1080.69,333,,,,,,17.1128
23808,3996.52,35.6923,2288.96,3531.9,1091.24,334,,,,,,35.6923
36352,5406.96,41.1001,3226.94,3612.86,1093.72,335,,,,,,41.1001
10432,2283.43,27.1096,2658.78,3841.73,1085.43,336,,,,,,27.1096
1536,619.245,14.3152,2263.96,4204.6,1081.76,337,,,,,,14.3152
1408,589.793,13.906,2163.87,4267.47,1081.84,338,,,,,,13.906
10176,2878,26.886,3225.5,4301.87,1093.75,339,,,,,,26.886
